7;6;7;L1;4.5;1371;1398;6;2;0;5;4;6;2;5;13;105.5;107.5;-2.1;134;62;1636;813;0.4741;0.471;-2.0769;-2.551;0.4316;0.4326;35.4727;46.5273;0.4202;34.4597;47.5403;12;4;9;W1;7;1412;1488;2;3;2;6;2;8;2;4;13;108.6;114.5;-5.9;147;73;1805;944;0.5054;0.456;-5.8462;-6.3516;0.3075;0.3254;26.6796;55.3204;0.2963;24.2958;57.7042
1;10;2;W1;0;1303;1219;7;1;3;1;9;2;4;8;12;108.6;101.6;7;125;69;1512;699;0.5221;0.5999;7;6.4779;0.7305;0.7165;58.7492;23.2508;0.7502;61.5142;20.4858;7;6;7;L2;4.5;1264;1267;5;0;1;7;3;4;2;4;13;97.2;97.5;-0.3;141;72;1724;864;0.5075;0.496;-0.2308;-0.7382;0.4924;0.4918;40.3241;41.6759;0.4902;40.1982;41.8018
6;6;6;L1;4;1257;1268;4;2;2;4;5;3;3;5;12;104.8;105.7;-0.9;130;62;1597;802;0.4853;0.489;-0.9167;-1.402;0.4698;0.4697;38.5185;43.4815;0.4641;38.0579;43.9421;2;10;2;W6;0.5;1395;1291;4;1;6;1;8;2;5;9;12;116.3;107.6;8.7;134;62;1661;787;0.4664;0.5581;8.6667;8.2003;0.7854;0.7461;61.1769;20.8231;0.7822;64.1382;17.8618
14;3;10;W1;8;1314;1390;2;5;1;5;1;8;3;3;13;101.1;106.9;-5.8;141;72;1741;865;0.506;0.4372;-5.8462;-6.3522;0.3075;0.3139;25.7366;56.2634;0.2834;23.2371;58.7629;9;7;7;L3;4.5;1494;1574;4;3;3;4;7;6;2;5;14;106.7;112.4;-5.7;149;75;1829;918;0.5029;0.5022;-5.7143;-6.2172;0.3118;0.3262;26.7454;55.2546;0.2972;24.37;57.63
4;8;5;W2;3;1363;1338;6;3;2;2;5;2;2;5;13;104.8;102.9;1.9;140;75;1722;848;0.5213;0.5448;1.9231;1.4018;0.5633;0.564;46.2499;35.7501;0.5758;47.2135;34.7865;12;4;8;L3;6;1275;1344;3;2;1;6;2;5;1;3;12;106.2;112;-5.8;130;66;1596;800;0.5055;0.4625;-5.75;-6.2555;0.3107;0.3245;26.61;55.39;0.2953;24.2174;57.7826
15;2;9;L4;8;1001;1082;1;3;1;6;1;6;1;2;11;91;98.4;-7.4;124;65;1541;782;0.5186;0.4344;-7.3636;-7.8823;0.2575;0.2531;20.7509;61.2491;0.2169;17.7848;64.2152;5;7;5;W3;3.5;1166;1190;4;2;3;3;6;3;4;6;12;97.2;99.2;-2;130;60;1603;805;0.4751;0.5021;-2;-2.4751;0.4341;0.4296;35.2288;46.7712;0.4167;34.1726;47.8274
11;4;8;L1;6.5;1272;1299;1;4;3;4;3;4;1;3;12;106;108.2;-2.2;128;59;1575;813;0.4794;0.4428;-2.25;-2.7294;0.4259;0.4275;35.0528;46.9472;0.4142;33.9656;48.0344;4;8;4;W1;2;1299;1252;4;3;4;1;5;2;3;7;12;108.2;104.3;3.9;122;65;1504;744;0.5201;0.5567;3.9167;3.3966;0.629;0.6254;51.2844;30.7156;0.6475;53.095;28.905
7;7;6;L1;4;1427;1417;4;2;3;4;5;5;3;6;13;109.8;109;0.8;141;67;1734;865;0.4831;0.4969;0.7692;0.2862;0.5253;0.5244;43.0037;38.9963;0.529;43.376;38.624;3;10;3;W5;1;1339;1269;3;3;7;0;7;3;5;7;13;103;97.6;5.4;137;73;1679;812;0.5164;0.5796;5.3846;4.8682;0.6773;0.6785;55.6369;26.3631;0.7081;58.0604;23.9396
12;4;9;L4;7;1318;1371;2;4;2;5;3;5;1;2;13;101.4;105.5;-4.1;140;69;1718;879;0.4991;0.4513;-4.0769;-4.576;0.3658;0.3662;30.0313;51.9687;0.3429;28.1157;53.8843;1;11;2;W1;0;1425;1240;5;2;6;0;9;2;4;8;13;109.6;95.4;14.2;145;79;1785;818;0.516;0.5985;14.2308;13.7148;0.9686;0.8737;71.6457;10.3543;0.9084;74.4905;7.5095
4;10;8;L1;4;1890;1879;4;4;6;4;8;4;3;6;18;105;104.4;0.6;289;141;5294;2669;0.4933;0.5089;0.6111;0.1178;0.5201;0.5203;42.6636;39.3364;0.5241;42.9729;39.0271;7;10;10;W2;5;1988;1950;7;2;3;8;6;5;4;5;20;99.4;97.5;1.9;324;177;5897;2943;0.5306;0.5229;1.9;1.3694;0.5626;0.5667;46.4706;35.5294;0.5789;47.4735;34.5265
2;12;6;W4;2;1975;1878;6;3;6;3;7;2;4;6;18;109.7;104.3;5.4;291;156;5338;2620;0.521;0.5574;5.3889;4.8679;0.6774;0.6683;54.8009;27.1991;0.6966;57.1177;24.8823;6;11;8;L2;5.5;1849;1871;5;4;6;4;7;3;2;7;19;97.3;98.5;-1.2;313;139;5714;2869;0.4634;0.4923;-1.1579;-1.6213;0.4619;0.459;37.6347;44.3653;0.4514;37.0118;44.9882
